ticker,timestamp,adjusted_close
AAPL,2/9/2021,136.01
AAPL,2/8/2021,136.91
AAPL,2/5/2021,136.76
AAPL,2/4/2021,137.1843639
AAPL,2/3/2021,133.7395276
AAPL,2/2/2021,134.787956
AAPL,2/1/2021,133.9392283
AAPL,1/29/2021,131.7624911
AAPL,1/28/2021,136.8848129
AAPL,1/27/2021,141.8473741
AAPL,1/26/2021,142.9457277
AAPL,1/25/2021,142.706087
AAPL,1/22/2021,138.8618494
AAPL,1/21/2021,136.6651422
AAPL,1/20/2021,131.8323864
AAPL,1/19/2021,127.6386727
AAPL,1/15/2021,126.9497054
AAPL,1/14/2021,128.7170562
AAPL,1/13/2021,130.6940927
AAPL,1/12/2021,128.6072208
AAPL,1/11/2021,128.7869514
AAPL,1/8/2021,131.8523564
AAPL,1/7/2021,130.7240477
AAPL,1/6/2021,126.4105136
AAPL,1/5/2021,130.813913
AAPL,1/4/2021,129.2163078
AAPL,12/31/2020,132.4913985
AAPL,12/30/2020,133.5198569
AAPL,12/29/2020,134.6681357
AAPL,12/28/2020,136.4854116
AAPL,12/24/2020,131.7724762
AAPL,12/23/2020,130.7639879
AAPL,12/22/2020,131.6826109
AAPL,12/21/2020,128.038074
AAPL,12/18/2020,126.4654313
AAPL,12/17/2020,128.5073705
AAPL,12/16/2020,127.6187026
AAPL,12/15/2020,127.6885978
AAPL,12/14/2020,121.5977279
AAPL,12/11/2020,122.2267849
AAPL,12/10/2020,123.0555427
AAPL,12/9/2020,121.5977279
AAPL,12/8/2020,124.1938364
AAPL,12/7/2020,123.5647793
AAPL,12/4/2020,122.0670244
AAPL,12/3/2020,122.7559917
AAPL,12/2/2020,122.8957821
AAPL,12/1/2020,122.536321
AAPL,11/30/2020,118.871814
AAPL,11/27/2020,116.4154959
AAPL,11/25/2020,115.8563341
AAPL,11/24/2020,114.9976213
AAPL,11/23/2020,113.679597
AAPL,11/20/2020,117.1643734
AAPL,11/19/2020,118.4624276
AAPL,11/18/2020,117.8533406
AAPL,11/17/2020,119.2113051
AAPL,11/16/2020,120.1199431
AAPL,11/13/2020,119.0814997
AAPL,11/12/2020,119.0315745
AAPL,11/11/2020,119.3111554
AAPL,11/10/2020,115.7964239
AAPL,11/9/2020,116.1459
AAPL,11/6/2020,118.5123528
AAPL,11/5/2020,118.6469183
AAPL,11/4/2020,114.5800492
AAPL,11/3/2020,110.084564
AAPL,11/2/2020,108.4199387
AAPL,10/30/2020,108.5096491
AAPL,10/29/2020,114.9488584
AAPL,10/28/2020,110.8421181
AAPL,10/27/2020,116.2247389
AAPL,10/26/2020,114.6797274
AAPL,10/23/2020,114.6697596
AAPL,10/22/2020,115.3774745
AAPL,10/21/2020,116.49387
AAPL,10/20/2020,117.1318102
AAPL,10/19/2020,115.6067343
AAPL,10/16/2020,118.6369505
AAPL,10/15/2020,120.3215115
AAPL,10/14/2020,120.7999666
AAPL,10/13/2020,120.7102563
AAPL,10/12/2020,123.9996357
AAPL,10/9/2020,116.5935481
AAPL,10/8/2020,114.5999849
AAPL,10/7/2020,114.7096308
AAPL,10/6/2020,112.7958101
AAPL,10/5/2020,116.1250608
AAPL,10/2/2020,112.6562607
AAPL,10/1/2020,116.4141274
AAPL,9/30/2020,115.4372814
AAPL,9/29/2020,113.722817
AAPL,9/28/2020,114.590017
AAPL,9/25/2020,111.9186423
AAPL,9/24/2020,107.8717088
AAPL,9/23/2020,106.775249
AAPL,9/22/2020,111.4501549
AAPL,9/21/2020,109.7257227
AAPL,9/18/2020,106.4961502
AAPL,9/17/2020,109.9848859
